ID,Sample number (AO),Sample number (VO),Sample number (AV),Competition,Section,Year,Musician,Instrument,Result,Variance condition,Start Time,Source video (full length),6-second clip (AO),6-second clip (VO),6-second clip (AV)
1,C1-1,C11-1,C49-1,Van Cliburn International Piano Competition,,1997,Jon Nakamatsu,Piano,1st place,low-variance,5:59,goo.gl/aHfpDG,https://osf.io/m8v96/,https://osf.io/jpyvn/,https://osf.io/dbxap/
2,C1-2,C11-2,C49-2,Van Cliburn International Piano Competition,,1997,Yakov Kasman,Piano,2nd place,low-variance,2:29,goo.gl/aHfpDG,https://osf.io/mt83v/,https://osf.io/5n3vg/,https://osf.io/7cxnt/
3,C2-1,C12-1,C50-1,International Franz Liszt Piano Competition,,2002,Jean Dub?,Piano,1st place,low-variance,5:13,goo.gl/86eDQb,https://osf.io/kejhq/,https://osf.io/hft85/,https://osf.io/etym7/
4,C2-2,C12-2,C50-2,International Franz Liszt Piano Competition,,2002,Ilona Timchenko,Piano,2nd place,low-variance,6:42,goo.gl/86eDQb,https://osf.io/bsx73/,https://osf.io/5sm27/,https://osf.io/anct2/
5,C3-1,C13-1,C51-1,International Franz Liszt Piano Competition,,2005,Yingdi Sun,Piano,1st place,low-variance,1:28,goo.gl/80XD1m,https://osf.io/s2zba/,https://osf.io/ymjfn/,https://osf.io/x84a2/
6,C3-2,C13-2,C51-2,International Franz Liszt Piano Competition,,2005,Anton Salnikov,Piano,2nd place,low-variance,3:45,goo.gl/80XD1m,https://osf.io/6wytc/,https://osf.io/pxm57/,https://osf.io/yq3pa/
7,C4-1,C14-1,C52-1,San Marino Piano Competition,,2008,Daniil Trifonov,Piano,1st place,low-variance,3:49,goo.gl/9eDRkY,https://osf.io/uzrh4/,https://osf.io/w9rz4/,https://osf.io/7qa2r/
8,C4-2,C14-2,C52-2,San Marino Piano Competition,,2008,Lukas Geniusas,Piano,2nd place,low-variance,0:43,goo.gl/4s5Ivn,https://osf.io/cb5dt/,https://osf.io/wmvzd/,https://osf.io/nhv74/
9,C5-1,C15-1,C53-1,Van Cliburn International Piano Competition,,2009,Haochen Zhang,Piano,1st place,low-variance,4:14,goo.gl/PpWm9q,https://osf.io/bhwfq/,https://osf.io/we3td/,https://osf.io/2rxe5/
10,C5-2,C15-2,C53-2,Van Cliburn International Piano Competition,,2009,Mariangela Vacatello,Piano,Finalist,low-variance,7:47,goo.gl/hIqYEc,https://osf.io/4yt27/,https://osf.io/wnbce/,https://osf.io/458dy/
11,C6-1,C16-1,C54-1,International Michinoku Tsugaru shamisen Competion,general women public,2019,Yuumi Agawa,Tsugaru shamisen,1st place,low-variance,0:26,https://www.youtube.com/watch?v=C7qi8H9SsSA,https://osf.io/xdks7/,https://osf.io/bwq7m/,https://osf.io/2bymz/
12,C6-2,C16-2,C54-2,International Michinoku Tsugaru shamisen Competion,general women public,2019,Satsuki Muramatsu,Tsugaru shamisen,2nd place,low-variance,0:29,https://www.youtube.com/watch?v=C7qi8H9SsSA,https://osf.io/dg5ry/,https://osf.io/twvez/,https://osf.io/pke2c/
13,C7-1,C17-1,C55-1,International Michinoku Tsugaru shamisen Competion,general men public,2019,Syuntaro Komachi,Tsugaru shamisen,1st place,low-variance,0:00,https://www.youtube.com/watch?v=58k0qb_7LPU,https://osf.io/6m7kq/,https://osf.io/8dvsr/,https://osf.io/mcn32/
14,C7-2,C17-2,C55-2,International Michinoku Tsugaru shamisen Competion,general men public,2019,Tetsuya Suzuki,Tsugaru shamisen,2nd place,low-variance,0:15,https://www.youtube.com/watch?v=58k0qb_7LPU,https://osf.io/eya23/,https://osf.io/5693h/,https://osf.io/nvc57/
15,C8-1,C18-1,C56-1,International Biwako Tsugaru shamisen Competion,boys and girls,2019,Maimu Onodera,Tsugaru shamisen,1st place,low-variance,2:22,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/x5jv3/,https://osf.io/6s54d/,https://osf.io/tzrc5/
16,C8-2,C18-2,C56-2,International Biwako Tsugaru shamisen Competion,boys and girls,2019,Yoshiki Shinohara,Tsugaru shamisen,2nd place,low-variance,2:29,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/htmys/,https://osf.io/g9p8t/,https://osf.io/5yn2k/
17,C9-1,C19-1,C57-1,International Biwako Tsugaru shamisen Competion,senior,2019,Keiko Nishiyama,Tsugaru shamisen,1st place,low-variance,1:11,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/mgfzk/,https://osf.io/2h3de/,https://osf.io/93jez/
18,C9-2,C19-2,C57-2,International Biwako Tsugaru shamisen Competion,senior,2019,Yoshimi Ooyabe,Tsugaru shamisen,2nd place,low-variance,0:53,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/4p826/,https://osf.io/htjn2/,https://osf.io/sfbge/
19,C10-1,C20-1,C58-1,International Hirosaki Tsugaru shamisen Competion,personal B,2019,Ryoya Sato,Tsugaru shamisen,1st place,low-variance,5:59,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/yqxej/,https://osf.io/v6twm/,https://osf.io/uz6nf/
20,C10-2,C20-2,C58-2,International Hirosaki Tsugaru shamisen Competion,personal B,2019,Ryuga Sato,Tsugaru shamisen,2nd place,low-variance,6:06,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/he8x4/,https://osf.io/ckrxh/,https://osf.io/9pmw4/
21,C21-1,C31-1,C59-1,Van Cliburn International Piano Competition,,2009,Nobuyuki Tsujii,Piano,1st place,high-variance,0:01,goo.gl/Ki2fvq,https://osf.io/xbkpj/,https://osf.io/yn9w2/,https://osf.io/chb6t/
22,C21-2,C31-2,C59-2,Van Cliburn International Piano Competition,,2009,Ran Dank,Piano,Semifinalist,high-variance,0:01,goo.gl/EeWvrh,https://osf.io/z64ka/,https://osf.io/bhdyw/,https://osf.io/8ye53/
23,C22-1,C32-1,C60-1,International Franz Liszt Piano Competition,,2007,Vitaly Pisarenko,Piano,1st place,high-variance,0:04,goo.gl/SekGqp,https://osf.io/sveja/,https://osf.io/w9nua/,https://osf.io/4fcy8/
24,C22-2,C32-2,C60-2,International Franz Liszt Piano Competition,,2007,Anzhelika Fuks,Piano,3rd place,high-variance,0:01,goo.gl/2pdD4d,https://osf.io/j5t67/,https://osf.io/42sm3/,https://osf.io/vyphu/
25,C23-1,C33-1,C61-1,San Marino Piano Competition,,2010,Dongkyu Kim,Piano,1st place,high-variance,0:50,goo.gl/onIqKa,https://osf.io/rndf3/,https://osf.io/xewsh/,https://osf.io/7tsng/
26,C23-2,C33-2,C61-2,San Marino Piano Competition,,2010,Yuhi Ozaki,Piano,Earlier competitor,high-variance,0:18,goo.gl/mAaUGD,https://osf.io/zq42m/,https://osf.io/ng38h/,https://osf.io/m72kh/
27,C24-1,C34-1,C62-1,Van Cliburn International Piano Competition,,2013,Vadym Kholodenko,Piano,1st place,high-variance,0:37,goo.gl/kDMJgq,https://osf.io/8sjcy/,https://osf.io/xde4a/,https://osf.io/gybkh/
28,C24-1,C34-2,C62-2,Van Cliburn International Piano Competition,,2013,Steven Lin,Piano,Preliminary competitor,high-variance,0:44,goo.gl/nuJG3e,https://osf.io/6ar7u/,https://osf.io/zbwfk/,https://osf.io/g7fk5/
29,C25-1,C35-1,C63-1,International Franz Liszt Piano Competition,,2011,Masataka Goto,Piano,1st place,high-variance,0:56,goo.gl/vnsOGD,https://osf.io/zxc9q/,https://osf.io/5vncb/,https://osf.io/wzqk6/
30,C25-2,C35-2,C63-2,International Franz Liszt Piano Competition,,2011,Ivan Penkov,Piano,Semifinalist,high-variance,N/A,goo.gl/BeUu5c*,https://osf.io/gfw54/,https://osf.io/c5equ/,https://osf.io/8ms2w/
31,C26-1,C36-1,C64-1,International Michinoku Tsugaru shamisen Competion,junior high school and high school students,2019,Keita Tanase,Tsugaru shamisen,1st place,high-variance,0:17,https://www.youtube.com/watch?v=Irgwr7pmesI,https://osf.io/8baey/,https://osf.io/y7859/,https://osf.io/s6t82/
32,C26-2,C36-2,C64-2,International Michinoku Tsugaru shamisen Competion,junior high school and high school students,2019,Akane Uto,Tsugaru shamisen,8th place,high-variance,0:02,https://www.youtube.com/watch?v=Irgwr7pmesI,https://osf.io/2v3u4/,https://osf.io/xkfn5/,https://osf.io/tw7m6/
33,C27-1,C37-1,C65-1,International Biwako Tsugaru shamisen Competion,general women public,2019,Kasumi Minato,Tsugaru shamisen,1st place,high-variance,5:53,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/cs4h5/,https://osf.io/gqbrk/,https://osf.io/rce3t/
34,C27-2,C37-2,C65-2,International Biwako Tsugaru shamisen Competion,general women public,2019,Ando Yumi,Tsugaru shamisen,21~47th place,high-variance,4:57,https://www.youtube.com/watch?v=J3mKq2TfW0M,https://osf.io/azrnc/,https://osf.io/u9j4c/,https://osf.io/nvh6z/
35,C28-1,C38-1,C66-1,International Biwako Tsugaru shamisen Competion,beginner,2019,Yu Wan,Tsugaru shamisen,1st place,high-variance,2:08,https://www.youtube.com/watch?v=_-sRdf0Sgbk&t=30062s,https://osf.io/bhruj/,https://osf.io/wa6gz/,https://osf.io/sgjnp/
36,C28-2,C38-2,C66-2,International Biwako Tsugaru shamisen Competion,beginner,2019,Naoko Kito,Tsugaru shamisen,21~50th Place,high-variance,0:43,https://www.youtube.com/watch?v=_-sRdf0Sgbk&t=30062s,https://osf.io/m623u/,https://osf.io/jms76/,https://osf.io/cj23z/
37,C29-1,C39-1,C67-1,International Hirosaki Tsugaru shamisen Competion,youth C,2019,Yurato Sugawara,Tsugaru shamisen,1st place,high-variance,2:06,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/34q2u/,https://osf.io/5khbd/,https://osf.io/87bq2/
38,C29-2,C39-2,C67-2,International Hirosaki Tsugaru shamisen Competion,youth C,2019,Marina Nakamura,Tsugaru shamisen,9~57th place,high-variance,2:04,https://www.youtube.com/watch?v=PomoGacW22A,https://osf.io/cb8pn/,https://osf.io/zuadk/,https://osf.io/cxp9s/
39,C30-1,C40-1,C68-1,International Hirosaki Tsugaru shamisen Competion,senior C,2019,Yoko Hukase,Tsugaru shamisen,1st place,high-variance,2:51,https://www.youtube.com/watch?v=QkIZO98Zu9g,https://osf.io/56qzw/,https://osf.io/9gdwr/,https://osf.io/8ynck/
40,C30-2,C40-2,C68-2,International Hirosaki Tsugaru shamisen Competion,senior C,2019,Hiroki Sato,Tsugaru shamisen,8~31th place,high-variance,1:56,https://www.youtube.com/watch?v=QkIZO98Zu9g,https://osf.io/2ujf4/,https://osf.io/h6k8p/,https://osf.io/zkf4y/
41,C41-1,C45-1,C69-1,International Franz Liszt Piano Competition,,2008,Vitaly Pisarenko,Piano (additional),1st place,low-variance,0:15,goo.gl/pc3dV2,https://osf.io/hyzfe/,https://osf.io/x6pvq/,https://osf.io/tgjkz/
42,C41-2,C45-2,C69-2,International Franz Liszt Piano Competition,,2008,Nino Gvetadze,Piano (additional),2nd place,low-variance,7:30,goo.gl/2HuonA,https://osf.io/tpqsn/,https://osf.io/acnj7/,https://osf.io/huv8d/
43,C42-1,C46-1,C70-1,Cleveland International Piano Competition,,2009,Martin Filjak,Piano (additional),1st place,low-variance,8:00,goo.gl/AN0aov**,https://osf.io/32mfc/,https://osf.io/znhpd/,https://osf.io/sajyw/
44,C42-2,C46-2,C70-2,Cleveland International Piano Competition,,2009,Dmitri Levkovich,Piano (additional),2nd place,low-variance,4:42,goo.gl/AN0aov,https://osf.io/t7jdp/,https://osf.io/tpszc/,https://osf.io/a87x9/
45,C43-1,C47-1,C71-1,Joseph Joachim International Violin Competition Hannover,,2009,Fumiaki Muira,Violin,1st place,low-variance,0:21,goo.gl/N9sfEa,https://osf.io/ekrc4/,https://osf.io/cmn2u/,https://osf.io/8nysp/
46,C43-2,C47-2,C71-2,Joseph Joachim International Violin Competition Hannover,,2009,Clara-Jumi Kang,Violin,2nd place,low-variance,0:01,goo.gl/6V2I9D,https://osf.io/e3rz6/,https://osf.io/8wexb/,https://osf.io/7w2v8/
47,C44-1,C48-1,C72-1,Queen Elisabeth Competition,,2009,Ray Chen,Violin,1st place,low-variance,1:02,goo.gl/Sr49fS,https://osf.io/8v3ut/,https://osf.io/j894n/,https://osf.io/jmyqx/
48,C44-2,C48-2,C72-2,Queen Elisabeth Competition,,2009,Lorenzo Gatto,Violin,2nd place,low-variance,3:10,goo.gl/3Hq9Ls,https://osf.io/me3w6/,https://osf.io/xy8t5/,https://osf.io/9kr7u/
