Index,ID,AudioVisualWinner,AudioOnlyWinner,VisualOnlyWinner,AudioVisualLoser,AudioOnlyLoser,VisualOnlyLoser
1,47291085613,66.66666667,66.66666667,0,100,33.33333333,66.66666667
2,10394261758,66.66666667,33.33333333,33.33333333,66.66666667,33.33333333,0
3,91628410537,66.66666667,66.66666667,33.33333333,0,100,100
4,10476925183,33.33333333,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667
5,10624891573,0,33.33333333,0,0,66.66666667,0
6,72510984361,33.33333333,33.33333333,0,0,66.66666667,66.66666667
7,82561079341,33.33333333,33.33333333,66.66666667,0,66.66666667,0
8,83210547961,66.66666667,66.66666667,33.33333333,66.66666667,66.66666667,33.33333333
9,58910412637,33.33333333,0,0,100,0,66.66666667
10,91013782654,66.66666667,0,66.66666667,66.66666667,0,33.33333333
11,41096321857,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667